Artist,CountryRegion,Role,BriefArtistIntroEnglish,BriefArtistIntroChinese,Source
葛东琪 (Ge Dongqi),China,singer,"Chinese singer-songwriter known for his innovative blend of electronic pop, R&B, and traditional Chinese elements. He gained recognition in the 2010s through online platforms, and his hit ""The Other Side of the Mountain"" went viral in 2020, showcasing his distinctive production style and vocal versatility.",中国创作型歌手，以创新性地融合电子流行、R&B和传统中国元素见长。2010年代通过线上平台获得关注，2020年其热门单曲《囍》走红网络，展现了他独特的制作风格和嗓音的多样性。,https://www.google.com/search?q=%E8%91%9B%E4%B8%9C%E7%90%AA+(Ge+Dongqi)+singer+biography
蔡国庆 (Cai Guoqing),China,singer,"Chinese singer who debuted in the early 1980s, known for his patriotic and folk-inspired songs. A frequent performer on China's national television, he has released numerous albums and remained a beloved figure in Chinese pop music for over four decades. His voice features a bright, clear tone and heartfelt delivery.",中国歌手，1980年代初期出道，以爱国主题和民谣风格的歌曲见长。多次在中国国家电视台演出，发行了众多专辑，四十余年来在中国流行音乐中一直备受喜爱。嗓音清亮明亮，演绎真挚动人。,https://www.google.com/search?q=%E8%94%A1%E5%9B%BD%E5%BA%86+(Cai+Guoqing)+singer+biography
蔡旻佑 (Evan Yo),China,singer,"Taiwanese singer-songwriter who debuted in 2006 with 19. He is classically trained as a violinist and pianist, and his music blends pop, classical crossover, and R&B elements. His hits include ""Can You"" and ""The Lonely One"". He is known for his smooth vocal delivery and refined songwriting.",台湾创作型歌手，2006年以专辑《19》出道。拥有小提琴和钢琴的古典训练背景，音乐融合流行、古典跨界及R&B元素。代表作包括《我可以》和《寂寞，好了》。嗓音流畅、创作精致。,https://www.google.com/search?q=%E8%94%A1%E6%97%BB%E4%BD%91+(Evan+Yo)+singer+biography
薛之谦 (Joker Xue),Chinese,singer-songwriter,"Chinese singer-songwriter who debuted in 2006 and experienced a major career resurgence in 2015 through social media and variety shows. His style is theatrical melancholy with memorable hooks and confessional performance. Hits include ""Actor"" (2015) and ""A Few Words"" (2016).",中国创作型歌手，2006年出道，2015年通过社交媒体和综艺节目经历了一次重大的事业复兴。音乐风格偏向戏剧化的忧郁，旋律洗脑、表演自白式。代表作包括《演员》（2015）和《丑八怪》（2016）。,https://en.wikipedia.org/wiki/Joker_Xue
袁娅维TIA RAY (TIA RAY),Chinese,singer-songwriter,"Chinese singer-songwriter known for her soulful vocal style and R&B, jazz, and soul influences. She rose to fame in 2012 through The Voice of China and has since released multiple albums, including TIA (2014) and 1212 (2022). She has collaborated with international artists and is known for her powerful live performances.",中国创作型歌手，嗓音深情，深受R&B、爵士及灵魂乐影响。2012年通过《中国好声音》走红，此后发行了多张专辑，包括《TIA》（2014）和《1212》（2022）。曾与国际艺术家合作，以强大的现场表演著称。,https://en.wikipedia.org/wiki/Tia_Ray
裁缝铺 (Tailor Shop Band),China,group,"Chinese indie band formed in the 2010s, known for fusing traditional Chinese folk music with contemporary indie-rock and electronic production. Their music features traditional instruments, poetic lyrics, and atmospheric soundscapes, creating a distinct East-meets-West sonic identity.",中国独立乐队，成立于2010年代，将中国传统民间音乐与当代独立摇滚和电子制作相融合。音乐以传统乐器、诗意的歌词和氛围化的音景为特征，创造了独特的东方与西方融合的音乐身份。,https://www.google.com/search?q=%E8%A3%81%E7%BC%9D%E9%93%BA+(Tailor+Shop+Band)+singer+biography
许美静 (Mavis Hee),Singaporean,singer-songwriter,"Singaporean singer-songwriter who rose to prominence in the 1990s with her melancholic Mandarin and Cantonese ballads. Her voice is cool and ethereal, with introspective lyrics. Hits include ""City of Dreams"" and ""The Regret"". She remains a beloved figure in the 1990s Mandopop golden era.",新加坡创作型歌手，1990年代以忧郁的国语及粤语抒情歌曲崭露头角。嗓音冷静空灵，歌词内省。代表作包括《城里的月光》和《遗憾》。在1990年代华语流行乐黄金时代仍是一位深受喜爱的人物。,https://en.wikipedia.org/wiki/Mavis_Hee
谭维维 (Sitar Tan),China,singer,"Chinese singer who rose to fame in 2006 as the runner-up of Super Girl. Her voice is powerful and versatile, spanning rock, folk, and pop. She has received critical acclaim for fusing traditional Chinese music with contemporary rock. Hits include ""When I Think of You"" and ""Sky Song"".",中国歌手，2006年作为《超级女声》亚军走红。嗓音充满力量、风格多变，横跨摇滚、民谣和流行。因将中国传统音乐与当代摇滚相融合而获得乐评界赞誉。代表作包括《如果有来生》和《乌兰巴托的夜》。,https://www.google.com/search?q=%E8%B0%AD%E7%BB%B4%E7%BB%B4+(Sitar+Tan)+singer+biography
赖美云 (Lai Meiyun),China,singer,"Chinese singer who rose to fame in 2018 as a member of Rocket Girls 101. Her voice is sweet and energetic, with dance-pop performance. She has since launched a solo career with original singles and variety show appearances.",中国歌手，2018年在《创造101》中以第六名出道，成为女团火箭少女101成员而走红。嗓音甜美、充满活力，擅长舞曲流行表演。此后开展了个人事业，发行原创单曲并参加综艺节目。,https://www.google.com/search?q=%E8%B5%96%E7%BE%8E%E4%BA%91+(Lai+Meiyun)+singer+biography
赵磊 (Zhao Lei),China,singer,"Chinese singer who rose to fame in 2019 as a member of R1SE. His voice is warm and melodic, with emotional ballad delivery. He has since released solo singles and contributed to television soundtracks.",中国歌手，2019年在《创造营2019》中以第十名出道，成为男团R1SE成员而走红。嗓音温暖、旋律化，擅长情感充沛的抒情演绎。此后发行了个人单曲并为电视剧原声带献声。,https://www.google.com/search?q=%E8%B5%B5%E7%A3%8A+(Zhao+Lei)+singer+biography
赵紫骅 (Zhao Zihua),China,singer,"Chinese singer-songwriter who gained recognition in the late 2010s through The Voice of China. His voice is raw and soulful, with a folk-pop sensibility. He has released original singles that reflect personal experiences and emotional honesty.",中国创作型歌手，2010年代末期通过参加《中国好声音》获得关注。嗓音原始而深情，风格偏向民谣流行。发行了反映个人经历和情感真挚的原创单曲。,https://www.google.com/search?q=%E8%B5%B5%E7%B4%AB%E9%AA%85+(Zhao+Zihua)+singer+biography
邢晗铭 (Xing Hanming),China,singer,"Chinese singer who won The Voice of China in 2019 at age 20. Her vocal style is unique and unconventional, with indie-pop sensibility. Her voice features a distinctive nasal quality and playful phrasing that sets her apart from traditional Mandopop singers.",中国歌手，2019年以20岁之龄获得《中国好声音》年度总冠军。嗓音独特、非传统，充满独立流行感性。鼻音质感鲜明、乐句处理俏皮，与传统华语流行歌手形成鲜明区别。,https://www.google.com/search?q=%E9%82%A2%E6%99%97%E9%93%AD+(Xing+Hanming)+singer+biography
那英 (Na Ying),Chinese,singer,"Chinese singer active since the late 1980s, one of the most influential voices in Mandopop. Her voice is powerful and rich, with emotive ballads. She has released numerous hit albums and served as a coach on The Voice of China. Hits include ""Conquer"" and ""The Promise of the Season"".",中国歌手，自1980年代末期起活跃，华语流行乐坛最具影响力的声音之一。嗓音富有力量、丰满厚实，擅长情感充沛的抒情歌曲。发行了众多热门专辑，并担任《中国好声音》导师。代表作包括《征服》和《白天不懂夜的黑》。,https://en.wikipedia.org/wiki/Na_Ying
郁可唯 (Yisa Yu),Chinese,singer,"Chinese singer who rose to fame in 2009 as the runner-up of Super Girl. Her voice is warm and clear, with emotional ballad delivery. She has released multiple albums and contributed extensively to television and film soundtracks. Hits include ""The Way of Time"" and ""Flowing Light"".",中国歌手，2009年作为《超级女声》亚军走红。嗓音温暖清亮，擅长情感充沛的抒情演绎。发行了多张专辑并为多部影视剧献唱原声带。代表作包括《时间煮雨》和《知否知否》。,https://baike.baidu.com/item/%E9%83%81%E5%8F%AF%E5%94%AF/6264517
金玟岐 (Vanessa Jin),China,singer,"Chinese singer-songwriter with poetic, introspective lyrics and a folk-pop style. She gained recognition in the mid-2010s with her original singles and has since contributed to film soundtracks. Her music blends acoustic elements with contemporary pop, creating an intimate, storytelling atmosphere.",中国创作型歌手，歌词诗意而内省，风格偏向民谣流行。2010年代中期通过原创单曲获得关注，此后为电影原声带创作。音乐融合原声乐器与当代流行元素，营造出亲密的故事氛围。,https://zh.wikipedia.org/wiki/%E9%87%91%E7%8E%9F%E5%B2%90
钟凯琳 (Zhong Kailin),China,singer,"Chinese singer who gained recognition in the 2010s through talent shows. Her voice is bright and melodic, with a pop sensibility. She has released original singles and built a following through streaming platforms and live performances.",中国歌手，2010年代通过参加选秀节目获得关注。嗓音清亮、旋律化，风格偏向流行。发行了原创单曲，并通过流媒体平台和现场演出积累了听众群体。,https://www.google.com/search?q=%E9%92%9F%E5%87%AF%E7%90%B3+(Zhong+Kailin)+singer+biography
银河快递 (Galaxy Express) (Galaxy Express),China,band,"Chinese indie band formed in the 2010s. Their sound is upbeat, melodic indie-pop with retro and dream-pop influences. Their music features catchy guitar riffs, smooth vocal harmonies, and lyrics that evoke nostalgia and youthful longing.",中国独立乐队，成立于2010年代，音乐积极向上、旋律性强，受复古和梦幻流行影响。以抓耳的吉他重复段、流畅的人声和声以及唤起怀旧和青春向往的歌词为特征。,https://www.google.com/search?q=%E9%93%B6%E6%B2%B3%E5%BF%AB%E9%80%92+(Galaxy+Express)+(Galaxy+Express)+singer+biography
阿达娃 (Adawa),China,singer,"Chinese singer of ethnic minority descent. Her voice is bright and powerful, and she blends traditional ethnic music with contemporary pop. She gained recognition in the 2020s through singing competitions, showcasing a versatile voice that spans pop, folk, and world music influences.",中国少数民族歌手，嗓音清亮有力，将传统民族音乐与当代流行相融合。2020年代通过歌唱比赛获得关注，展现了她横跨流行、民谣和世界音乐影响的多样化嗓音。,https://www.google.com/search?q=%E9%98%BF%E8%BE%BE%E5%A8%83+(Adawa)+singer+biography
陆毅 (Lu Yi),China,singer,"Chinese singer and actor who debuted in the early 2000s. His voice is warm and smooth, and he has contributed to television soundtracks. He has released albums and singles. He is also one of China's most recognizable actors, with starring roles in major television dramas.",中国歌手及演员，2000年代初期出道。嗓音温暖流畅，为电视剧原声带贡献了大量作品。发行了专辑和单曲。也是中国最具知名度的演员之一，在多部大型电视剧中担任主演。,https://www.google.com/search?q=%E9%99%86%E6%AF%85+(Lu+Yi)+singer+biography
陆深 (Lu Shen),China,singer,"Chinese singer active in the online music scene since the 2010s. His voice is deep and resonant, with contributions to the gufeng and fantasy music genres. He has released original tracks and collaborated with other online musicians on game soundtracks and fan projects.",中国歌手，自2010年代以来活跃于线上音乐圈。嗓音低沉富有共鸣，为古风及玄幻音乐贡献了大量作品。发行了原创歌曲，并与其他线上音乐人合作游戏配乐及粉丝项目。,https://www.google.com/search?q=%E9%99%86%E6%B7%B1+(Lu+Shen)+singer+biography
陆通 (Lu Tong),China,singer,"Chinese singer and online music creator active in the 2010s and 2020s. His vocal style is versatile, and he has contributed to pop and soundtrack music. He has released original singles and collaborated with other artists in the Mandopop industry.",中国歌手及线上音乐创作者，活跃于2010至2020年代。嗓音风格多样，为流行及配乐音乐贡献了大量作品。发行了原创单曲，并与华语流行音乐行业的其他艺人合作。,https://www.google.com/search?q=%E9%99%86%E9%80%9A+(Lu+Tong)+singer+biography
陈冰 (Chen Bing),China,singer,"Chinese singer who gained recognition through The Voice of China in 2014. Her voice is powerful and explosive, with a pop-rock style. She has released original singles and contributed to film soundtracks. Her voice features a wide range and emotional intensity.",中国歌手，2014年因参加《中国好声音》而获得关注。嗓音充满力量、极具爆发力，风格偏向流行摇滚。此后发行了原创单曲并为电影原声带献声。音域宽广、情感饱满。,https://www.google.com/search?q=%E9%99%88%E5%86%B0+(Chen+Bing)+singer+biography
陈卓璇 (Chen Zhuoxuan),China,singer,"Chinese singer who rose to fame in 2020 as a member of BonBon Girls 303. Her voice is clear and powerful, with emotional ballad delivery. She has launched a solo career with original singles and soundtrack contributions.",中国歌手，2020年在《创造营2020》中以第四名出道，成为女团硬糖少女303成员而走红。嗓音清亮有力，擅长情感充沛的抒情演绎。此后开展个人事业，发行原创单曲并为原声带献声。,https://www.google.com/search?q=%E9%99%88%E5%8D%93%E7%92%87+(Chen+Zhuoxuan)+singer+biography
陈奕迅 (Eason Chan),Hong Kong,singer and actor,"Hong Kong singer and actor, one of the most popular and influential voices in Cantopop and Mandopop. Debuting in 1995, his conversational singing style makes lyrics feel lived-in rather than performed. Hits include ""K歌之王"" (2000), ""十年"" (2003), and ""The Lonely Grain"" (2010). He has won numerous Golden Melody Awards.",香港歌手及演员，粤语及华语流行乐坛最具影响力和最受欢迎的歌手之一。1995年出道，演唱风格如同对话般自然，让歌词听起来像是生活的真实记录而非表演。代表作包括《K歌之王》（2000）、《十年》（2003）和《孤独患者》（2010）。多次获得金曲奖。,https://en.wikipedia.org/wiki/Eason_Chan
陈婧霏 (Chen Jingfei),China,singer,"Chinese singer-songwriter with a dreamy, retro-infused pop sound and poetic lyrics. She gained recognition in the late 2010s through online platforms, blending indie-pop, folk, and jazz influences. Her music creates an intimate, nostalgic atmosphere with warm vocal delivery and sophisticated arrangements.",中国创作型歌手，音乐梦幻、复古，歌词富有诗意。2010年代末期通过线上平台获得关注，融合独立流行、民谣和爵士元素。嗓音温暖、编曲精致，营造出亲密而怀旧的氛围。,https://www.google.com/search?q=%E9%99%88%E5%A9%A7%E9%9C%8F+(Chen+Jingfei)+singer+biography
陈楚生 (Chen Chusheng),Chinese,singer,"Chinese singer who won Super Boy in 2007. His voice is warm and clear, with a folk-pop sensibility. He has released multiple albums and contributed to television soundtracks. Hits include ""The One"" and ""Where Are You"". His voice features sincerity and understated emotional power.",中国歌手，2007年获得《快乐男声》全国总冠军。嗓音温暖清亮，风格偏向民谣流行。发行了多张专辑并为电视剧原声带献声。代表作包括《有没有人告诉你》和《经过》。嗓音真挚，情感含蓄而有力。,https://en.wikipedia.org/wiki/Chen_Chusheng
陈立农 (Chen Linong),Taiwanese,singer and screen performer,"Taiwanese singer and actor who rose to fame in 2018 as a member of NINE PERCENT. His voice is warm and youthful, with charming stage presence. He launched a solo career with his debut single ""我是你的"" in 2018.",台湾歌手及演员，2018年在《偶像练习生》中以第二名出道，成为男团NINE PERCENT成员而走红。嗓音温暖青春，舞台表现富有魅力。此后于2018年以首支单曲《我是你的》开展个人事业。,https://en.wikipedia.org/wiki/Chen_Linong
陈粒 (Chen Li),China,singer,"Chinese indie folk singer-songwriter who rose to fame in the mid-2010s with her distinctive, poetic lyrics and eclectic musical style. Her music blends folk, indie-pop, and rock elements, with a deep, expressive voice and unconventional song structures. She is one of the most influential independent musicians in the Chinese music scene.",中国独立民谣创作型歌手，2010年代中期以独特的诗意歌词和折衷的音乐风格走红。音乐融合民谣、独立流行和摇滚元素，嗓音低沉富有表现力，歌曲结构不拘一格。是中国音乐圈最具影响力的独立音乐人之一。,https://en.wikipedia.org/wiki/Chen_Li_(singer)
陈雪燃 (Chen Xueran),China,singer,"Chinese singer-songwriter and producer known for his work on film and television soundtracks. Active since the 2010s, he has composed and performed music for major Chinese productions. His vocal style is warm and emotive, often carrying the dramatic weight required for cinematic scoring.",中国创作型歌手及制作人，以电影及电视剧原声带创作见长。自2010年代以来活跃，为中国大型制作项目创作并演唱音乐。嗓音温暖而情感充沛，常承载电影配乐所需的戏剧性张力。,https://www.google.com/search?q=%E9%99%88%E9%9B%AA%E7%87%83+(Chen+Xueran)+singer+biography
霓虹花园NeonGarden (NeonGarden),China,group,"Chinese indie rock band formed in the 2010s. Their sound is guitar-driven with youthful release and live-band energy. They blend alternative rock, post-punk, and melodic pop elements with raw, emotive lyrics, positioning themselves firmly in the Chinese indie rock scene.",中国独立摇滚乐队，成立于2010年代，音乐以吉他驱动、充满青春释放感和现场乐队能量。融合另类摇滚、后朋克和旋律性流行元素，配以原始而情感充沛的歌词，在中国独立摇滚场景中占据重要位置。,https://www.google.com/search?q=%E9%9C%93%E8%99%B9%E8%8A%B1%E5%9B%ADNeonGarden+(NeonGarden)+singer+biography
高睿 (Gao Rui),China,singer,"Chinese singer who gained recognition through The Voice of China in the late 2010s. Her voice is warm and rich, with a pop-ballad sensibility. She has released original singles and built a following through digital platforms and live performances.",中国歌手，2010年代末期因参加《中国好声音》而获得关注。嗓音温暖丰富，风格偏向流行抒情。此后发行了原创单曲，并通过数字平台和现场演出积累了听众群体。,https://www.google.com/search?q=%E9%AB%98%E7%9D%BF+(Gao+Rui)+singer+biography
魏如萱 (Waa Wei),Taiwanese,singer-songwriter,"Taiwanese singer-songwriter who first gained recognition as the lead vocalist of Natural Q in the mid-2000s. Her voice is quirky and ethereal, with indie-pop songwriting. She has released multiple solo albums and won the Golden Melody Award for Best Mandarin Female Singer in 2020. Hits include ""Don't Be Afraid"" and ""The Color of the Night"".",台湾创作型歌手，2000年代中期作为独立乐队自然卷的主唱首次获得关注。嗓音独特而空灵，创作风格偏向独立流行。发行了多张个人专辑，并于2020年获得金曲奖最佳华语女歌手奖。代表作包括《你啊你啊》和《末路狂花》。,https://en.wikipedia.org/wiki/Waa_Wei
黄绮珊 (Susan Huang),China,singer,"Chinese singer who rose to fame in the 2010s through Singer. Her voice has extraordinary range and powerful, soulful delivery. It is one of the most technically acclaimed voices in Mandopop, spanning multiple octaves with incredible control and emotional depth.",中国歌手，2010年代通过参加《歌手》节目走红。音域非凡、演唱充满力量与深情。是华语流行乐坛最受技术赞誉的声音之一，横跨多个八度，控制力惊人且情感深厚。,https://www.google.com/search?q=%E9%BB%84%E7%BB%AE%E7%8F%8A+(Susan+Huang)+singer+biography
黄誉博 (Huang Yubo),China,singer,"Chinese singer who gained recognition in the 2020s through youth music competition shows. His voice is youthful and energetic, with a pop-rock sensibility. He has released original singles and built a following through digital platforms and live performances.",中国歌手，2020年代通过参加青年音乐竞演节目获得关注。嗓音青春活力，风格偏向流行摇滚。此后发行了原创单曲，并通过数字平台和现场演出积累了听众群体。,https://www.google.com/search?q=%E9%BB%84%E8%AA%89%E5%8D%9A+(Huang+Yubo)+singer+biography
